algorithm_id,bit_rule,contamination_id,geometry_id,point_count,m1_l1_locality,m1_l2_locality,recall_8_64,miad
A0_input,C0_uniform,D1,E7,403.0,5873.87 ± 1.76e+03,9.22657e-07 ± 5.02e-07,0.0629653 ± 0.00573,2.27451 ± 0.04
A0_input,C0_uniform,D1,E8,269.0,41147.7 ± 1.15e+04,7.8825e-07 ± 8.31e-07,0.240242 ± 0.0153,3.19349 ± 0.204
A0_input,C0_uniform,D1,E8,403.0,48086.5 ± 1.3e+04,3.64608e-07 ± 4.62e-07,0.173821 ± 0.0112,3.24209 ± 0.141
A0_input,C0_uniform,D2,E0,294.0,51082.7 ± 2.16e+04,2.66444e-06 ± 1.17e-06,0.296344 ± 0.00817,4.60827 ± 0.149
A0_input,C0_uniform,D2,E0,442.0,56059.5 ± 2.02e+04,8.46978e-07 ± 1.01e-06,0.229581 ± 0.0115,4.7418 ± 0.149
A0_input,C0_uniform,D2,E1,294.0,1.46479e+06 ± 4.71e+05,1.65817e-05 ± 1.2e-05,0.29966 ± 0.0162,12.7383 ± 0.33
A0_input,C0_uniform,D2,E1,442.0,1.93066e+06 ± 7.63e+05,6.78659e-06 ± 8.14e-06,0.229977 ± 0.0101,13.4059 ± 1.14
A0_input,C0_uniform,D2,E2,294.0,1.10963e+07 ± 4.06e+06,4.0983e-05 ± 4.16e-05,0.305697 ± 0.0183,24.1191 ± 0.661
A0_input,C0_uniform,D2,E2,442.0,1.50139e+07 ± 6.53e+06,1.54352e-05 ± 2.33e-05,0.231391 ± 0.00557,25.644 ± 2.65
A0_input,C0_uniform,D2,E5,294.0,1307.05 ± 570,6.12269e-07 ± 9.83e-08,0.213776 ± 0.00693,1.95983 ± 0.0386
A0_input,C0_uniform,D2,E5,442.0,1423.32 ± 439,9.903e-08 ± 2.72e-08,0.11759 ± 0.00654,1.98536 ± 0.0696
A0_input,C0_uniform,D2,E6,294.0,2811.07 ± 1.23e+03,2.72261e-06 ± 4.85e-07,0.246769 ± 0.00645,2.47804 ± 0.052
A0_input,C0_uniform,D2,E6,442.0,3094.6 ± 966,1.12798e-06 ± 7.81e-07,0.160181 ± 0.0057,2.51093 ± 0.0927
A0_input,C0_uniform,D2,E7,294.0,6234.43 ± 933,3.27114e-06 ± 1.64e-06,0.18784 ± 0.0112,2.88839 ± 0.0407
A0_input,C0_uniform,D2,E7,442.0,6234.43 ± 933,9.22657e-07 ± 5.02e-07,0.115328 ± 0.0089,2.88152 ± 0.0268
A0_input,C0_uniform,D2,E8,294.0,51460.3 ± 1.25e+04,7.8825e-07 ± 8.31e-07,0.294813 ± 0.0109,4.69416 ± 0.191
A0_input,C0_uniform,D2,E8,442.0,60269.5 ± 1.45e+04,3.64608e-07 ± 4.62e-07,0.22879 ± 0.0085,4.91823 ± 0.214
A0_input,C0_uniform,D3,E0,320.0,51082.7 ± 2.16e+04,2.66444e-06 ± 1.17e-06,0.323516 ± 0.0109,5.88869 ± 0.353
A0_input,C0_uniform,D3,E0,480.0,58191.1 ± 1.79e+04,8.46978e-07 ± 1.01e-06,0.23526 ± 0.0112,6.11326 ± 0.225
A0_input,C0_uniform,D3,E1,320.0,1.46479e+06 ± 4.71e+05,1.65817e-05 ± 1.2e-05,0.316875 ± 0.0109,16.3296 ± 1.18
A0_input,C0_uniform,D3,E1,480.0,1.95976e+06 ± 7.64e+05,6.78659e-06 ± 8.14e-06,0.231979 ± 0.00689,17.4526 ± 1.72
A0_input,C0_uniform,D3,E2,320.0,1.10963e+07 ± 4.06e+06,4.0983e-05 ± 4.16e-05,0.320547 ± 0.0127,30.9766 ± 2.26
A0_input,C0_uniform,D3,E2,480.0,1.5241e+07 ± 6.48e+06,1.54352e-05 ± 2.33e-05,0.232135 ± 0.00694,33.4991 ± 4.01
A0_input,C0_uniform,D3,E5,320.0,1421.73 ± 441,6.12269e-07 ± 9.83e-08,0.240078 ± 0.00905,2.27606 ± 0.0974
A0_input,C0_uniform,D3,E5,480.0,1643.54 ± 323,9.903e-08 ± 2.72e-08,0.128281 ± 0.000874,2.30475 ± 0.0729
A0_input,C0_uniform,D3,E6,320.0,3063.97 ± 956,2.72261e-06 ± 4.85e-07,0.268047 ± 0.00889,2.88683 ± 0.126
A0_input,C0_uniform,D3,E6,480.0,3586.05 ± 717,1.12798e-06 ± 7.81e-07,0.165365 ± 0.00341,2.92394 ± 0.0964
A0_input,C0_uniform,D3,E7,320.0,6234.43 ± 933,3.27114e-06 ± 1.64e-06,0.205547 ± 0.0123,3.33788 ± 0.0672
A0_input,C0_uniform,D3,E7,480.0,6467.17 ± 662,9.22657e-07 ± 5.02e-07,0.123906 ± 0.00759,3.38765 ± 0.066
A0_input,C0_uniform,D3,E8,320.0,51460.3 ± 1.25e+04,7.8825e-07 ± 8.31e-07,0.320391 ± 0.0129,5.95858 ± 0.351
A0_input,C0_uniform,D3,E8,480.0,60269.5 ± 1.45e+04,3.64608e-07 ± 4.62e-07,0.234219 ± 0.0123,6.28013 ± 0.269
A0_input,C0_uniform,D4,E0,320.0,39535.4 ± 9.15e+03,1.10784e-06 ± 7.64e-07,0.336406 ± 0.01,1.96403 ± 0.058
A0_input,C0_uniform,D4,E0,480.0,44254.8 ± 1.17e+04,1.49672e-07 ± 6.53e-08,0.23625 ± 0.00992,1.9381 ± 0.0619
A0_input,C0_uniform,D4,E1,320.0,1.04786e+06 ± 3.18e+05,7.14231e-06 ± 4.23e-06,0.329688 ± 0.013,5.2465 ± 0.184
A0_input,C0_uniform,D4,E1,480.0,1.26512e+06 ± 4.88e+05,3.05717e-06 ± 2.18e-06,0.23651 ± 0.0101,5.18057 ± 0.226
A0_input,C0_uniform,D4,E2,320.0,7.6643e+06 ± 2.72e+06,2.21381e-05 ± 1.87e-05,0.333516 ± 0.0115,9.85122 ± 0.396
A0_input,C0_uniform,D4,E2,480.0,9.56932e+06 ± 4.19e+06,6.27739e-06 ± 3.19e-06,0.236875 ± 0.00593,9.73553 ± 0.448
A0_input,C0_uniform,D4,E5,320.0,1245.76 ± 28.1,1.43984e-08 ± 1.44e-08,0.259609 ± 0.00412,1.17016 ± 0.00157
A0_input,C0_uniform,D4,E5,480.0,1354.34 ± 29.5,5.00941e-09 ± 6.5e-09,0.135625 ± 0.00521,1.16012 ± 0.00128
A0_input,C0_uniform,D4,E6,320.0,2087.22 ± 544,2.80321e-08 ± 2.95e-08,0.286484 ± 0.00597,1.46244 ± 0.00584
A0_input,C0_uniform,D4,E6,480.0,2120.73 ± 521,7.86012e-09 ± 8.18e-09,0.174115 ± 0.00604,1.44865 ± 0.00417
A0_input,C0_uniform,D4,E7,320.0,3005.47 ± 727,1.54297e-08 ± 6.97e-09,0.230234 ± 0.0047,1.66842 ± 0.00273
A0_input,C0_uniform,D4,E7,480.0,3447.96 ± 1.01e+03,6.80815e-09 ± 5.13e-09,0.139115 ± 0.00438,1.65609 ± 0.00499
A0_input,C0_uniform,D4,E8,320.0,40382.4 ± 6.34e+03,4.13262e-07 ± 3.64e-07,0.336172 ± 0.00982,2.06717 ± 0.0645
A0_input,C0_uniform,D4,E8,480.0,48125.6 ± 1.26e+04,1.24223e-07 ± 1.22e-07,0.23849 ± 0.0041,2.07675 ± 0.0311
A1_lexicographic,C0_uniform,D0,E0,256.0,128.739 ± 38.4,9.63144e-05 ± 4.98e-05,0.741211 ± 0.0241,1.77326 ± 0.0457
A1_lexicographic,C0_uniform,D0,E0,384.0,138.605 ± 55.3,2.86192e-05 ± 2.83e-05,0.63724 ± 0.0157,1.74376 ± 0.0616
A1_lexicographic,C0_uniform,D0,E1,256.0,2167.98 ± 2.81e+03,0.000334804 ± 0.000215,0.786133 ± 0.235,3.50487 ± 1.95
A1_lexicographic,C0_uniform,D0,E1,384.0,2391.01 ± 3.64e+03,0.000185695 ± 0.000108,0.705794 ± 0.25,3.47877 ± 1.8
A1_lexicographic,C0_uniform,D0,E2,256.0,11758 ± 2.88e+04,0.000861533 ± 0.000391,0.85332 ± 0.29,4.47653 ± 4.04
A1_lexicographic,C0_uniform,D0,E2,384.0,9320.16 ± 2.08e+04,0.000514775 ± 0.000219,0.790625 ± 0.309,4.43229 ± 3.84
A1_lexicographic,C0_uniform,D0,E5,256.0,6.27446 ± 0.00393,3.85729e-05 ± 6.19e-06,0.99375 ± 0.000996,0.889569 ± 5.89e-05
A1_lexicographic,C0_uniform,D0,E5,384.0,6.27446 ± 0.00393,7.74202e-06 ± 1.86e-06,0.970247 ± 0.00133,0.896722 ± 0.000103
A1_lexicographic,C0_uniform,D0,E6,256.0,15.8264 ± 0,5.09892e-05 ± 0,0.94707 ± 0.000542,0.940412 ± 0.00984
A1_lexicographic,C0_uniform,D0,E6,384.0,15.8264 ± 0,3.3601e-05 ± 5.62e-06,0.885156 ± 0.000443,0.930072 ± 0.0039
A1_lexicographic,C0_uniform,D0,E7,256.0,50.1317 ± 0,6.85384e-05 ± 2.75e-05,0.608691 ± 0.006,1.71369 ± 0.00539
A1_lexicographic,C0_uniform,D0,E7,384.0,43.3806 ± 0,2.2042e-05 ± 3.33e-06,0.537435 ± 0.000857,1.73962 ± 0.00404
A1_lexicographic,C0_uniform,D0,E8,256.0,85.4272 ± 56.9,2.53653e-05 ± 1.78e-05,0.818066 ± 0.0369,1.53837 ± 0.0644
A1_lexicographic,C0_uniform,D0,E8,384.0,79.9082 ± 10.9,7.90768e-06 ± 1.07e-05,0.715039 ± 0.011,1.57737 ± 0.0414
A1_lexicographic,C0_uniform,D1,E0,269.0,16656.6 ± 9.06e+03,9.63144e-05 ± 4.98e-05,0.733271 ± 0.0276,2.49758 ± 0.146
A1_lexicographic,C0_uniform,D1,E0,403.0,26811.9 ± 5.85e+03,2.86192e-05 ± 2.83e-05,0.633002 ± 0.0204,2.47118 ± 0.0868
A1_lexicographic,C0_uniform,D1,E1,269.0,679693 ± 2.51e+05,0.000334804 ± 0.000215,0.774535 ± 0.235,5.66536 ± 2.19
A1_lexicographic,C0_uniform,D1,E1,403.0,1.11208e+06 ± 6.35e+05,0.000185695 ± 0.000108,0.699442 ± 0.251,5.90297 ± 2.27
A1_lexicographic,C0_uniform,D1,E2,269.0,5.12193e+06 ± 2.02e+06,0.000861533 ± 0.000391,0.83987 ± 0.284,8.65666 ± 4.29
A1_lexicographic,C0_uniform,D1,E2,403.0,8.70601e+06 ± 5.22e+06,0.000514775 ± 0.000219,0.781886 ± 0.307,9.22176 ± 4.57
A1_lexicographic,C0_uniform,D1,E5,269.0,500.289 ± 321,3.85729e-05 ± 6.19e-06,0.982249 ± 0.00407,1.04227 ± 0.0253
A1_lexicographic,C0_uniform,D1,E5,403.0,601.782 ± 230,7.636e-06 ± 1.68e-06,0.956762 ± 0.00489,1.03772 ± 0.0188
A1_lexicographic,C0_uniform,D1,E6,269.0,1091.28 ± 700,5.09892e-05 ± 0,0.93197 ± 0.00599,1.14865 ± 0.035
A1_lexicographic,C0_uniform,D1,E6,403.0,1313.98 ± 503,3.27827e-05 ± 7.24e-06,0.871402 ± 0.00459,1.11961 ± 0.0216
A1_lexicographic,C0_uniform,D1,E7,269.0,4048.04 ± 2.22e+03,6.65142e-05 ± 2.72e-05,0.594517 ± 0.00897,2.02376 ± 0.0412
A1_lexicographic,C0_uniform,D1,E7,403.0,4553.22 ± 1.78e+03,2.09891e-05 ± 3.45e-06,0.524566 ± 0.00477,2.05579 ± 0.0509
A1_lexicographic,C0_uniform,D1,E8,269.0,13978.6 ± 1.16e+04,2.53653e-05 ± 1.78e-05,0.810874 ± 0.0389,2.2059 ± 0.171
A1_lexicographic,C0_uniform,D1,E8,403.0,23221.2 ± 1.34e+04,7.51186e-06 ± 9.71e-06,0.708623 ± 0.0159,2.27101 ± 0.0993
A1_lexicographic,C0_uniform,D2,E0,294.0,32276.1 ± 1.35e+04,9.63144e-05 ± 4.98e-05,0.732568 ± 0.0302,3.80546 ± 0.283
A1_lexicographic,C0_uniform,D2,E0,442.0,35563.8 ± 1.02e+04,2.86192e-05 ± 2.83e-05,0.648756 ± 0.0205,3.91194 ± 0.23
A1_lexicographic,C0_uniform,D2,E1,294.0,1.11543e+06 ± 8.4e+05,0.000334804 ± 0.000215,0.766667 ± 0.226,9.88587 ± 3.31
A1_lexicographic,C0_uniform,D2,E1,442.0,1.49307e+06 ± 9.11e+05,0.000185695 ± 0.000108,0.701584 ± 0.242,10.5636 ± 3.2
A1_lexicographic,C0_uniform,D2,E2,294.0,8.45803e+06 ± 6.71e+06,0.000861533 ± 0.000391,0.827126 ± 0.273,16.9795 ± 6.51
A1_lexicographic,C0_uniform,D2,E2,442.0,1.16476e+07 ± 7.57e+06,0.000514775 ± 0.000219,0.776188 ± 0.298,18.5271 ± 6.41
A1_lexicographic,C0_uniform,D2,E5,294.0,687.291 ± 193,3.84806e-05 ± 5.94e-06,0.969303 ± 0.00515,1.30037 ± 0.0565
A1_lexicographic,C0_uniform,D2,E5,442.0,773.399 ± 78.3,7.56867e-06 ± 1.56e-06,0.942081 ± 0.0122,1.35026 ± 0.0468
A1_lexicographic,C0_uniform,D2,E6,294.0,1495.84 ± 425,5.09892e-05 ± 0,0.921854 ± 0.0096,1.49725 ± 0.0668
A1_lexicographic,C0_uniform,D2,E6,442.0,1687.33 ± 190,3.27827e-05 ± 7.24e-06,0.863688 ± 0.0128,1.53749 ± 0.0511
A1_lexicographic,C0_uniform,D2,E7,294.0,5629.59 ± 1.08e+03,6.46587e-05 ± 2.41e-05,0.584524 ± 0.0176,2.63968 ± 0.129
A1_lexicographic,C0_uniform,D2,E7,442.0,5853.87 ± 900,2.02702e-05 ± 3.71e-06,0.517534 ± 0.0139,2.63569 ± 0.124
A1_lexicographic,C0_uniform,D2,E8,294.0,22614.4 ± 4.01e+03,2.53653e-05 ± 1.78e-05,0.809014 ± 0.0357,3.40201 ± 0.264
A1_lexicographic,C0_uniform,D2,E8,442.0,29999.7 ± 6.72e+03,7.51186e-06 ± 9.71e-06,0.722172 ± 0.0174,3.62569 ± 0.213
A1_lexicographic,C0_uniform,D3,E0,320.0,32099.4 ± 1.05e+04,8.70902e-05 ± 3.9e-05,0.745313 ± 0.0337,4.91472 ± 0.364
A1_lexicographic,C0_uniform,D3,E0,480.0,35966.5 ± 1.34e+04,2.84999e-05 ± 2.84e-05,0.660156 ± 0.0203,5.01073 ± 0.322
A1_lexicographic,C0_uniform,D3,E1,320.0,1.15499e+06 ± 8.55e+05,0.000334804 ± 0.000215,0.77 ± 0.224,13.2735 ± 4.02
A1_lexicographic,C0_uniform,D3,E1,480.0,1.46468e+06 ± 9.83e+05,0.000183908 ± 0.000105,0.705729 ± 0.234,14.3835 ± 4.54
A1_lexicographic,C0_uniform,D3,E2,320.0,8.8538e+06 ± 6.96e+06,0.000861533 ± 0.000391,0.8225 ± 0.277,23.7395 ± 8.08
A1_lexicographic,C0_uniform,D3,E2,480.0,1.15098e+07 ± 8.12e+06,0.00051105 ± 0.000223,0.773385 ± 0.287,26.0911 ± 9.18
A1_lexicographic,C0_uniform,D3,E5,320.0,743.938 ± 64.7,3.84806e-05 ± 5.94e-06,0.959375 ± 0.0144,1.54866 ± 0.0492
A1_lexicographic,C0_uniform,D3,E5,480.0,731.682 ± 119,7.52887e-06 ± 1.5e-06,0.931042 ± 0.0115,1.55429 ± 0.0579
A1_lexicographic,C0_uniform,D3,E6,320.0,1617.66 ± 151,4.98561e-05 ± 3.15e-06,0.919063 ± 0.0155,1.83072 ± 0.0513
A1_lexicographic,C0_uniform,D3,E6,480.0,1586.15 ± 260,3.10029e-05 ± 7.58e-06,0.858021 ± 0.0151,1.81317 ± 0.0778
A1_lexicographic,C0_uniform,D3,E7,320.0,5853.87 ± 900,6.37797e-05 ± 2.25e-05,0.584219 ± 0.0241,3.09613 ± 0.222
A1_lexicographic,C0_uniform,D3,E7,480.0,5906.01 ± 924,1.88916e-05 ± 3.31e-06,0.522813 ± 0.0134,3.15266 ± 0.197
A1_lexicographic,C0_uniform,D3,E8,320.0,23409.4 ± 3.41e+03,2.53653e-05 ± 1.78e-05,0.819922 ± 0.0365,4.40825 ± 0.246
A1_lexicographic,C0_uniform,D3,E8,480.0,30198.3 ± 8.24e+03,7.51186e-06 ± 9.71e-06,0.729583 ± 0.0185,4.66678 ± 0.422
A1_lexicographic,C0_uniform,D4,E0,320.0,31160 ± 7.13e+03,7.14537e-06 ± 6.26e-06,0.792344 ± 0.0196,1.57327 ± 0.0475
A1_lexicographic,C0_uniform,D4,E0,480.0,32806.2 ± 7.54e+03,2.05029e-06 ± 8.63e-07,0.705573 ± 0.014,1.52005 ± 0.0522
A1_lexicographic,C0_uniform,D4,E1,320.0,793532 ± 2.33e+05,7.41264e-05 ± 7.66e-05,0.825156 ± 0.193,3.26038 ± 1.6
A1_lexicographic,C0_uniform,D4,E1,480.0,1.05351e+06 ± 6.26e+05,3.7809e-05 ± 3.99e-05,0.749115 ± 0.216,3.16939 ± 1.46
A1_lexicographic,C0_uniform,D4,E2,320.0,5.78116e+06 ± 1.87e+06,0.000382986 ± 0.000361,0.875703 ± 0.243,4.46393 ± 3.32
A1_lexicographic,C0_uniform,D4,E2,480.0,8.40915e+06 ± 6.22e+06,0.000252953 ± 0.000267,0.813594 ± 0.27,4.30463 ± 3.09
A1_lexicographic,C0_uniform,D4,E5,320.0,941.43 ± 16.9,1.00094e-07 ± 9.33e-08,0.995 ± 0.000797,0.756013 ± 0.000805
A1_lexicographic,C0_uniform,D4,E5,480.0,941.966 ± 22.4,4.69464e-08 ± 3.9e-08,0.976042 ± 0.0011,0.751927 ± 0.00113
A1_lexicographic,C0_uniform,D4,E6,320.0,1754.54 ± 31,2.01074e-07 ± 1.96e-07,0.957656 ± 0.000434,0.807694 ± 0.0083
A1_lexicographic,C0_uniform,D4,E6,480.0,1787.35 ± 38.5,8.86971e-08 ± 8.51e-08,0.908125 ± 0.000354,0.787451 ± 0.00389
A1_lexicographic,C0_uniform,D4,E7,320.0,3239.68 ± 65.8,8.61724e-08 ± 5.2e-08,0.67625 ± 0.00393,1.44409 ± 0.00718
A1_lexicographic,C0_uniform,D4,E7,480.0,3233.53 ± 55.3,4.36526e-08 ± 4.25e-08,0.599271 ± 0.00459,1.44927 ± 0.00336
A1_lexicographic,C0_uniform,D4,E8,320.0,30428.4 ± 3.6e+03,5.9199e-06 ± 6.19e-06,0.854453 ± 0.0295,1.3798 ± 0.0558
A1_lexicographic,C0_uniform,D4,E8,480.0,36483.2 ± 6.28e+03,2.04035e-06 ± 6.91e-07,0.769948 ± 0.00916,1.38643 ± 0.0402
A2_morton,C0_uniform,D0,E0,256.0,167.183 ± 88.5,4.95831e-05 ± 1.98e-05,0.762793 ± 0.0123,0.834334 ± 0.0249
A2_morton,C0_uniform,D0,E0,384.0,184.944 ± 43.6,1.19493e-05 ± 6.06e-06,0.736133 ± 0.0176,0.748442 ± 0.017
A2_morton,C0_uniform,D0,E1,256.0,3961.64 ± 7.78e+03,0.000275205 ± 0.000158,0.771191 ± 0.116,1.63054 ± 0.407
A2_morton,C0_uniform,D0,E1,384.0,4777.59 ± 7.39e+03,6.90845e-05 ± 7.72e-05,0.725456 ± 0.0877,1.47686 ± 0.28
A2_morton,C0_uniform,D0,E2,256.0,18654.6 ± 3.37e+04,0.000487785 ± 0.000527,0.772461 ± 0.195,2.45402 ± 0.965
A2_morton,C0_uniform,D0,E2,384.0,28550.5 ± 3.62e+04,0.000210824 ± 0.000317,0.725195 ± 0.189,2.18763 ± 0.806
A2_morton,C0_uniform,D0,E5,256.0,8.31343 ± 0.75,2.74602e-06 ± 2.12e-07,0.799316 ± 0.00629,0.250613 ± 0.00602
A2_morton,C0_uniform,D0,E5,384.0,9.039 ± 1.2,7.98331e-07 ± 4.09e-07,0.804167 ± 0.00995,0.201807 ± 0.00364
A2_morton,C0_uniform,D0,E6,256.0,12.8202 ± 0,1.11503e-05 ± 1.71e-07,0.757227 ± 0.00322,0.416864 ± 0.00247
A2_morton,C0_uniform,D0,E6,384.0,16.6526 ± 0,3.7725e-06 ± 1.02e-06,0.770508 ± 0.00268,0.367279 ± 0.00194
A2_morton,C0_uniform,D0,E7,256.0,8.7186 ± 0,1.27756e-05 ± 1.41e-07,0.837109 ± 0.0014,0.376914 ± 0.0027
A2_morton,C0_uniform,D0,E7,384.0,8.7186 ± 0,3.47803e-06 ± 1.1e-06,0.780208 ± 0.00172,0.320575 ± 0.000425
A2_morton,C0_uniform,D0,E8,256.0,224.092 ± 95.5,9.14831e-06 ± 4e-06,0.76123 ± 0.0186,0.731316 ± 0.0228
A2_morton,C0_uniform,D0,E8,384.0,190.295 ± 36.3,6.71983e-06 ± 3.91e-06,0.735547 ± 0.0221,0.659441 ± 0.0236
A2_morton,C0_uniform,D1,E0,269.0,9044.93 ± 5.65e+03,5.33529e-05 ± 3.68e-05,0.762546 ± 0.0304,1.57368 ± 0.0723
A2_morton,C0_uniform,D1,E0,403.0,13242.2 ± 9.47e+03,1.36032e-05 ± 7.2e-06,0.722829 ± 0.0184,1.3955 ± 0.0676
A2_morton,C0_uniform,D1,E1,269.0,216423 ± 1.17e+05,0.000398972 ± 0.000175,0.759201 ± 0.0812,3.56101 ± 0.696
A2_morton,C0_uniform,D1,E1,403.0,429373 ± 3.14e+05,0.000146765 ± 0.000125,0.697146 ± 0.0905,3.39178 ± 0.43
A2_morton,C0_uniform,D1,E2,269.0,1.56779e+06 ± 8.99e+05,0.000631435 ± 0.000446,0.766636 ± 0.137,6.11726 ± 1.54
A2_morton,C0_uniform,D1,E2,403.0,3.29176e+06 ± 2.72e+06,0.000220617 ± 0.000283,0.716873 ± 0.164,5.73152 ± 1.18
A2_morton,C0_uniform,D1,E5,269.0,407.506 ± 396,3.13727e-06 ± 9.45e-07,0.7579 ± 0.0304,0.468069 ± 0.0262
A2_morton,C0_uniform,D1,E5,403.0,454.161 ± 384,5.85669e-07 ± 2.61e-07,0.776303 ± 0.00692,0.386246 ± 0.0172
A2_morton,C0_uniform,D1,E6,269.0,868.441 ± 859,5.80916e-06 ± 2.66e-06,0.713755 ± 0.0536,0.718768 ± 0.0288
A2_morton,C0_uniform,D1,E6,403.0,987.564 ± 836,3.19406e-06 ± 6.31e-07,0.725993 ± 0.0272,0.609096 ± 0.0265
A2_morton,C0_uniform,D1,E7,269.0,640.367 ± 278,1.45808e-05 ± 7.85e-06,0.805019 ± 0.0291,0.660953 ± 0.0752
A2_morton,C0_uniform,D1,E7,403.0,814.833 ± 176,3.19693e-06 ± 4.42e-07,0.771898 ± 0.0237,0.563585 ± 0.0385
A2_morton,C0_uniform,D1,E8,269.0,12978.7 ± 1.23e+04,1.13771e-05 ± 1.77e-05,0.766914 ± 0.0535,1.47459 ± 0.116
A2_morton,C0_uniform,D1,E8,403.0,20988.8 ± 1.54e+04,5.20358e-06 ± 5.55e-06,0.729094 ± 0.0276,1.3313 ± 0.116
A2_morton,C0_uniform,D2,E0,294.0,16924.8 ± 7.37e+03,2.56583e-05 ± 1.07e-05,0.720323 ± 0.0167,2.1989 ± 0.139
A2_morton,C0_uniform,D2,E0,442.0,27007.4 ± 7.35e+03,1.20939e-05 ± 1.9e-06,0.71793 ± 0.0127,1.96057 ± 0.0822
A2_morton,C0_uniform,D2,E1,294.0,398404 ± 4.15e+05,0.000382166 ± 0.000453,0.72602 ± 0.0905,5.40611 ± 0.966
A2_morton,C0_uniform,D2,E1,442.0,669327 ± 7.8e+05,9.66586e-05 ± 8.8e-05,0.681391 ± 0.0821,4.9101 ± 0.77
A2_morton,C0_uniform,D2,E2,294.0,3.85742e+06 ± 5.1e+06,0.00041852 ± 0.000574,0.723895 ± 0.169,9.38099 ± 2.2
