runlist,algorithm_id,method,bit_rule,bit_allocator,contamination_id,contamination_mode,geometry_id,point_count,clean_point_count,seed,frame_estimator,sort_seconds_off,sort_seconds_all,sort_seconds_all_minus_off,sort_seconds_all_minus_off_percent,miad_off,miad_all,miad_all_minus_off,miad_all_minus_off_percent,m1_l1_locality_off,m1_l1_locality_all,m1_l1_locality_all_minus_off,m1_l1_locality_all_minus_off_percent,l1_locality_off,l1_locality_all,l1_locality_all_minus_off,l1_locality_all_minus_off_percent,m1_l2_locality_off,m1_l2_locality_all,m1_l2_locality_all_minus_off,m1_l2_locality_all_minus_off_percent,l2_locality_off,l2_locality_all,l2_locality_all_minus_off,l2_locality_all_minus_off_percent,recall_8_64_off,recall_8_64_all,recall_8_64_all_minus_off,recall_8_64_all_minus_off_percent,block_read_mean_off,block_read_mean_all,block_read_mean_all_minus_off,block_read_mean_all_minus_off_percent,block_read_p95_off,block_read_p95_all,block_read_p95_all_minus_off,block_read_p95_all_minus_off_percent,cache_miss_rate_off,cache_miss_rate_all,cache_miss_rate_all_minus_off,cache_miss_rate_all_minus_off_percent,kendall_tau_clean_off,kendall_tau_clean_all,kendall_tau_clean_all_minus_off,kendall_tau_clean_all_minus_off_percent,frame_angle_rad_off,frame_angle_rad_all,frame_angle_rad_all_minus_off,frame_angle_rad_all_minus_off_percent
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E1,256.0,256.0,0.0,none,2.2632e-05,2.2823e-05,1.91e-07,0.843937787204,5.9553094587,5.9553094587,0,0,10313.9050369,10313.9050369,0,0,10313.9050369,10313.9050369,0,0,7.75637237976e-06,7.75637237976e-06,0,0,7.75637237976e-06,7.75637237976e-06,0,0,0.2197265625,0.2197265625,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E1,256.0,256.0,1.0,none,3.6459e-05,2.3074e-05,-1.3385e-05,-36.7124715434,6.13239247145,6.13239247145,0,0,10528.6617937,10528.6617937,0,0,10528.6617937,10528.6617937,0,0,1.77736949929e-05,1.77736949929e-05,0,0,1.77736949929e-05,1.77736949929e-05,0,0,0.23828125,0.23828125,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E1,256.0,256.0,2.0,none,3.6619e-05,2.2913e-05,-1.3706e-05,-37.4286572544,5.66686885781,5.66686885781,0,0,10109.2186002,10109.2186002,0,0,10109.2186002,10109.2186002,0,0,7.94519687884e-06,7.94519687884e-06,0,0,7.94519687884e-06,7.94519687884e-06,0,0,0.22900390625,0.22900390625,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E1,256.0,256.0,3.0,none,2.2432e-05,3.6489e-05,1.4057e-05,62.6649429387,5.85361536532,5.85361536532,0,0,10412.509744,10412.509744,0,0,10412.509744,10412.509744,0,0,1.81640296316e-05,1.81640296316e-05,0,0,1.81640296316e-05,1.81640296316e-05,0,0,0.23046875,0.23046875,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E1,256.0,256.0,4.0,none,2.2372e-05,2.2773e-05,4.01e-07,1.7924190953,5.88819214115,5.88819214115,0,0,12388.7340387,12388.7340387,0,0,12388.7340387,12388.7340387,0,0,3.12693253756e-05,3.12693253756e-05,0,0,3.12693253756e-05,3.12693253756e-05,0,0,0.2119140625,0.2119140625,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E1,384.0,384.0,0.0,none,3.2691e-05,3.3623e-05,9.32e-07,2.85093756691,6.20954509035,6.20954509035,0,0,15998.8850727,15998.8850727,0,0,15998.8850727,15998.8850727,0,0,7.75637237976e-06,7.75637237976e-06,0,0,7.75637237976e-06,7.75637237976e-06,0,0,0.157877604167,0.157877604167,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E1,384.0,384.0,1.0,none,3.2732e-05,3.5757e-05,3.025e-06,9.24172064035,5.88730146139,5.88730146139,0,0,10528.6617937,10528.6617937,0,0,10528.6617937,10528.6617937,0,0,1.77736949929e-05,1.77736949929e-05,0,0,1.77736949929e-05,1.77736949929e-05,0,0,0.162760416667,0.162760416667,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E1,384.0,384.0,2.0,none,3.3082e-05,3.3504e-05,4.22e-07,1.27561816093,5.821076827,5.821076827,0,0,10109.2186002,10109.2186002,0,0,10109.2186002,10109.2186002,0,0,3.10566928373e-06,3.10566928373e-06,0,0,3.10566928373e-06,3.10566928373e-06,0,0,0.155598958333,0.155598958333,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E1,384.0,384.0,3.0,none,3.3052e-05,5.3462e-05,2.041e-05,61.7511799589,5.9389447567,5.9389447567,0,0,10412.509744,10412.509744,0,0,10412.509744,10412.509744,0,0,1.54104884626e-06,1.54104884626e-06,0,0,1.54104884626e-06,1.54104884626e-06,0,0,0.150065104167,0.150065104167,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E1,384.0,384.0,4.0,none,3.3062e-05,3.3573e-05,5.11e-07,1.54558102958,5.70166646029,5.70166646029,0,0,12388.7340387,12388.7340387,0,0,12388.7340387,12388.7340387,0,0,3.75615672111e-06,3.75615672111e-06,0,0,3.75615672111e-06,3.75615672111e-06,0,0,0.1572265625,0.1572265625,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E2,256.0,256.0,0.0,none,2.7562e-05,2.8043e-05,4.81e-07,1.74515637472,11.0603391542,11.0603391542,0,0,82390.7162788,82390.7162788,0,0,82390.7162788,82390.7162788,0,0,8.27887596217e-06,8.27887596217e-06,0,0,8.27887596217e-06,8.27887596217e-06,0,0,0.22265625,0.22265625,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E2,256.0,256.0,1.0,none,2.2512e-05,2.2663e-05,1.51e-07,0.670753375977,11.5365203036,11.5365203036,0,0,83681.111334,83681.111334,0,0,83681.111334,83681.111334,0,0,9.76916908891e-05,9.76916908891e-05,0,0,9.76916908891e-05,9.76916908891e-05,0,0,0.24267578125,0.24267578125,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E2,256.0,256.0,2.0,none,2.2202e-05,2.2593e-05,3.91e-07,1.76110260337,10.5564041639,10.5564041639,0,0,80824.7730218,80824.7730218,0,0,80824.7730218,80824.7730218,0,0,3.6247591401e-05,3.6247591401e-05,0,0,3.6247591401e-05,3.6247591401e-05,0,0,0.2294921875,0.2294921875,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E2,256.0,256.0,3.0,none,2.2562e-05,2.2713e-05,1.51e-07,0.669266908962,10.9954804755,10.9954804755,0,0,82014.0957435,82014.0957435,0,0,82014.0957435,82014.0957435,0,0,3.0820154243e-05,3.0820154243e-05,0,0,3.0820154243e-05,3.0820154243e-05,0,0,0.234375,0.234375,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E2,256.0,256.0,4.0,none,2.2393e-05,2.2693e-05,3e-07,1.3397043719,11.0663253079,11.0663253079,0,0,99024.4506475,99024.4506475,0,0,99024.4506475,99024.4506475,0,0,3.18766691526e-05,3.18766691526e-05,0,0,3.18766691526e-05,3.18766691526e-05,0,0,0.22216796875,0.22216796875,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E2,384.0,384.0,0.0,none,3.2181e-05,3.3363e-05,1.182e-06,3.67297473665,11.6175640939,11.6175640939,0,0,127197.825507,127197.825507,0,0,127197.825507,127197.825507,0,0,8.27887596217e-06,8.27887596217e-06,0,0,8.27887596217e-06,8.27887596217e-06,0,0,0.153645833333,0.153645833333,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E2,384.0,384.0,1.0,none,3.2771e-05,3.3022e-05,2.51e-07,0.765921088768,10.9911124185,10.9911124185,0,0,83681.111334,83681.111334,0,0,83681.111334,83681.111334,0,0,4.87772729314e-05,4.87772729314e-05,0,0,4.87772729314e-05,4.87772729314e-05,0,0,0.159830729167,0.159830729167,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E2,384.0,384.0,2.0,none,3.3113e-05,4.1328e-05,8.215e-06,24.8089874068,10.9037111771,10.9037111771,0,0,80824.7730218,80824.7730218,0,0,80824.7730218,80824.7730218,0,0,9.57890856294e-06,9.57890856294e-06,0,0,9.57890856294e-06,9.57890856294e-06,0,0,0.157552083333,0.157552083333,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E2,384.0,384.0,3.0,none,5.3861e-05,4.6468e-05,-7.393e-06,-13.7260726685,11.1579944455,11.1579944455,0,0,82014.0957435,82014.0957435,0,0,82014.0957435,82014.0957435,0,0,6.10410897348e-06,6.10410897348e-06,0,0,6.10410897348e-06,6.10410897348e-06,0,0,0.160807291667,0.160807291667,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E2,384.0,384.0,4.0,none,3.3012e-05,3.3423e-05,4.11e-07,1.24500181752,10.6705524541,10.6705524541,0,0,99024.4506475,99024.4506475,0,0,99024.4506475,99024.4506475,0,0,4.43702103304e-06,4.43702103304e-06,0,0,4.43702103304e-06,4.43702103304e-06,0,0,0.153971354167,0.153971354167,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E5,256.0,256.0,0.0,none,2.7232e-05,2.2933e-05,-4.299e-06,-15.7865746181,1.39412405739,1.39412405739,0,0,15.6579816739,15.6579816739,0,0,15.6579816739,15.6579816739,0,0,5.76164790826e-07,5.76164790826e-07,0,0,5.76164790826e-07,5.76164790826e-07,0,0,0.138671875,0.138671875,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E5,256.0,256.0,1.0,none,2.8394e-05,2.8394e-05,0,0,1.39395714276,1.39395714276,0,0,15.6451818459,15.6451818459,0,0,15.6451818459,15.6451818459,0,0,5.68378421443e-07,5.68378421443e-07,0,0,5.68378421443e-07,5.68378421443e-07,0,0,0.13330078125,0.13330078125,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E5,256.0,256.0,2.0,none,2.3004e-05,2.2754e-05,-2.5e-07,-1.08676751869,1.39397062954,1.39397062954,0,0,15.6459806918,15.6459806918,0,0,15.6459806918,15.6459806918,0,0,7.52606374057e-07,7.52606374057e-07,0,0,7.52606374057e-07,7.52606374057e-07,0,0,0.13623046875,0.13623046875,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E5,256.0,256.0,3.0,none,2.2453e-05,3.6769e-05,1.4316e-05,63.7598539171,1.3941388002,1.3941388002,0,0,15.6521163808,15.6521163808,0,0,15.6521163808,15.6521163808,0,0,5.69020583454e-07,5.69020583454e-07,0,0,5.69020583454e-07,5.69020583454e-07,0,0,0.13671875,0.13671875,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E5,256.0,256.0,4.0,none,2.2222e-05,2.2622e-05,4e-07,1.80001800018,1.39410681698,1.39410681698,0,0,15.6601800089,15.6601800089,0,0,15.6601800089,15.6601800089,0,0,5.95173000569e-07,5.95173000569e-07,0,0,5.95173000569e-07,5.95173000569e-07,0,0,0.134765625,0.134765625,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E5,384.0,384.0,0.0,none,3.2982e-05,3.3032e-05,5e-08,0.151597841247,1.3944835404,1.3944835404,0,0,16.713912378,16.713912378,0,0,16.713912378,16.713912378,0,0,1.18584621512e-07,1.18584621512e-07,0,0,1.18584621512e-07,1.18584621512e-07,0,0,0.0315755208333,0.0315755208333,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E5,384.0,384.0,1.0,none,3.2812e-05,3.3183e-05,3.71e-07,1.13068389614,1.39438305912,1.39438305912,0,0,16.7112165432,16.7112165432,0,0,16.7112165432,16.7112165432,0,0,8.76936189774e-08,8.76936189774e-08,0,0,8.76936189774e-08,8.76936189774e-08,0,0,0.0319010416667,0.0319010416667,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E5,384.0,384.0,2.0,none,5.3461e-05,3.0527e-05,-2.2934e-05,-42.8985615682,1.39442254294,1.39442254294,0,0,16.7117187914,16.7117187914,0,0,16.7117187914,16.7117187914,0,0,1.26688173507e-07,1.26688173507e-07,0,0,1.26688173507e-07,1.26688173507e-07,0,0,0.0322265625,0.0322265625,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E5,384.0,384.0,3.0,none,3.2962e-05,3.3223e-05,2.61e-07,0.791820884655,1.39456023669,1.39456023669,0,0,16.7118614473,16.7118614473,0,0,16.7118614473,16.7118614473,0,0,8.1166447844e-08,8.1166447844e-08,0,0,8.1166447844e-08,8.1166447844e-08,0,0,0.0319010416667,0.0319010416667,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E5,384.0,384.0,4.0,none,3.2852e-05,3.3633e-05,7.81e-07,2.37732862535,1.39455311862,1.39455311862,0,0,16.7121186114,16.7121186114,0,0,16.7121186114,16.7121186114,0,0,8.10171847716e-08,8.10171847716e-08,0,0,8.10171847716e-08,8.10171847716e-08,0,0,0.0302734375,0.0302734375,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E6,256.0,256.0,0.0,none,2.8334e-05,2.6711e-05,-1.623e-06,-5.72810051528,1.74365339423,1.74365339423,0,0,17.5741575428,17.5741575428,0,0,17.5741575428,17.5741575428,0,0,2.0236032329e-06,2.0236032329e-06,0,0,2.0236032329e-06,2.0236032329e-06,0,0,0.17041015625,0.17041015625,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E6,256.0,256.0,1.0,none,2.4917e-05,3.6659e-05,1.1742e-05,47.1244531846,1.7457670081,1.7457670081,0,0,17.5741575428,17.5741575428,0,0,17.5741575428,17.5741575428,0,0,2.89736743165e-06,2.89736743165e-06,0,0,2.89736743165e-06,2.89736743165e-06,0,0,0.169921875,0.169921875,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E6,256.0,256.0,2.0,none,2.2613e-05,3.6419e-05,1.3806e-05,61.0533763764,1.74367805532,1.74367805532,0,0,17.5741575428,17.5741575428,0,0,17.5741575428,17.5741575428,0,0,2.89736743165e-06,2.89736743165e-06,0,0,2.89736743165e-06,2.89736743165e-06,0,0,0.1689453125,0.1689453125,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E6,256.0,256.0,3.0,none,2.2753e-05,2.2473e-05,-2.8e-07,-1.23060695293,1.74359956058,1.74359956058,0,0,17.5741575428,17.5741575428,0,0,17.5741575428,17.5741575428,0,0,2.89736743165e-06,2.89736743165e-06,0,0,2.89736743165e-06,2.89736743165e-06,0,0,0.16943359375,0.16943359375,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E6,256.0,256.0,4.0,none,2.2483e-05,2.1831e-05,-6.52e-07,-2.89996886536,1.743845475,1.743845475,0,0,17.5741575428,17.5741575428,0,0,17.5741575428,17.5741575428,0,0,2.89736743165e-06,2.89736743165e-06,0,0,2.89736743165e-06,2.89736743165e-06,0,0,0.1689453125,0.1689453125,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E6,384.0,384.0,0.0,none,4.0586e-05,3.3162e-05,-7.424e-06,-18.2920218795,1.74206492593,1.74206492593,0,0,17.5741575428,17.5741575428,0,0,17.5741575428,17.5741575428,0,0,5.37008432196e-07,5.37008432196e-07,0,0,5.37008432196e-07,5.37008432196e-07,0,0,0.0777994791667,0.0777994791667,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E6,384.0,384.0,1.0,none,3.3222e-05,3.1931e-05,-1.291e-06,-3.88597917043,1.7433355936,1.7433355936,0,0,17.5741575428,17.5741575428,0,0,17.5741575428,17.5741575428,0,0,5.37008432196e-07,5.37008432196e-07,0,0,5.37008432196e-07,5.37008432196e-07,0,0,0.0791015625,0.0791015625,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E6,384.0,384.0,2.0,none,3.3252e-05,3.1961e-05,-1.291e-06,-3.88247323469,1.74160131641,1.74160131641,0,0,17.5741575428,17.5741575428,0,0,17.5741575428,17.5741575428,0,0,9.94425758771e-07,9.94425758771e-07,0,0,9.94425758771e-07,9.94425758771e-07,0,0,0.0784505208333,0.0784505208333,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E6,384.0,384.0,3.0,none,4.1709e-05,3.3072e-05,-8.637e-06,-20.7077609149,1.74352667671,1.74352667671,0,0,17.5741575428,17.5741575428,0,0,17.5741575428,17.5741575428,0,0,1.7857302045e-06,1.7857302045e-06,0,0,1.7857302045e-06,1.7857302045e-06,0,0,0.0791015625,0.0791015625,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E6,384.0,384.0,4.0,none,3.2852e-05,3.3053e-05,2.01e-07,0.611834895897,1.74371604182,1.74371604182,0,0,17.5741575428,17.5741575428,0,0,17.5741575428,17.5741575428,0,0,1.7857302045e-06,1.7857302045e-06,0,0,1.7857302045e-06,1.7857302045e-06,0,0,0.0791015625,0.0791015625,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E7,256.0,256.0,0.0,none,2.2492e-05,2.8214e-05,5.722e-06,25.4401565001,1.99242745664,1.99242745664,0,0,69.0126474197,69.0126474197,0,0,69.0126474197,69.0126474197,0,0,3.87773741495e-06,3.87773741495e-06,0,0,3.87773741495e-06,3.87773741495e-06,0,0,0.09765625,0.09765625,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E7,256.0,256.0,1.0,none,2.2101e-05,2.2333e-05,2.32e-07,1.04972625673,1.99304485198,1.99304485198,0,0,69.0126474197,69.0126474197,0,0,69.0126474197,69.0126474197,0,0,5.33522812793e-06,5.33522812793e-06,0,0,5.33522812793e-06,5.33522812793e-06,0,0,0.0986328125,0.0986328125,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E7,256.0,256.0,2.0,none,2.2392e-05,2.8134e-05,5.742e-06,25.6430868167,1.99263368843,1.99263368843,0,0,69.0126474197,69.0126474197,0,0,69.0126474197,69.0126474197,0,0,2.38090675554e-06,2.38090675554e-06,0,0,2.38090675554e-06,2.38090675554e-06,0,0,0.10107421875,0.10107421875,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E7,256.0,256.0,3.0,none,2.7842e-05,2.2333e-05,-5.509e-06,-19.7866532577,1.99280831128,1.99280831128,0,0,69.0126474197,69.0126474197,0,0,69.0126474197,69.0126474197,0,0,2.38090675554e-06,2.38090675554e-06,0,0,2.38090675554e-06,2.38090675554e-06,0,0,0.1025390625,0.1025390625,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E7,256.0,256.0,4.0,none,2.2091e-05,2.7673e-05,5.582e-06,25.2682087728,1.99263368843,1.99263368843,0,0,69.0126474197,69.0126474197,0,0,69.0126474197,69.0126474197,0,0,2.38090675554e-06,2.38090675554e-06,0,0,2.38090675554e-06,2.38090675554e-06,0,0,0.10205078125,0.10205078125,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E7,384.0,384.0,0.0,none,4.0908e-05,3.3162e-05,-7.746e-06,-18.9351716046,1.99372251502,1.99372251502,0,0,69.0126474197,69.0126474197,0,0,69.0126474197,69.0126474197,0,0,4.79919963844e-07,4.79919963844e-07,0,0,4.79919963844e-07,4.79919963844e-07,0,0,0.033203125,0.033203125,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E7,384.0,384.0,1.0,none,3.2972e-05,3.3082e-05,1.1e-07,0.333616401795,1.99413357458,1.99413357458,0,0,69.0126474197,69.0126474197,0,0,69.0126474197,69.0126474197,0,0,4.79919963844e-07,4.79919963844e-07,0,0,4.79919963844e-07,4.79919963844e-07,0,0,0.0335286458333,0.0335286458333,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E7,384.0,384.0,2.0,none,4.1368e-05,4.1418e-05,5e-08,0.120866370141,1.99171157444,1.99171157444,0,0,69.0126474197,69.0126474197,0,0,69.0126474197,69.0126474197,0,0,1.21781484827e-06,1.21781484827e-06,0,0,1.21781484827e-06,1.21781484827e-06,0,0,0.0335286458333,0.0335286458333,0,0,,,,,,,,,,,,,,,,,,,,
